date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-05-01,AK,364.0,19961.0,,25.0,,,,,,254.0,2020-05-01T20:00:00Z,9.0,,20325.0,20325.0,20325.0,02,0.0,0.0,1197.0,9.0,1206.0
2020-05-01,AL,7158.0,84775.0,,,1008.0,,335.0,,195.0,,2020-05-01T20:00:00Z,279.0,1008.0,91933.0,91933.0,91933.0,01,10.0,30.0,4598.0,139.0,4737.0
2020-05-01,AR,3321.0,46355.0,,95.0,414.0,,,23.0,85.0,1973.0,2020-05-01T20:00:00Z,64.0,414.0,49676.0,49676.0,49676.0,05,3.0,12.0,1231.0,66.0,1297.0
2020-05-01,AS,0.0,57.0,,,,,,,,,2020-05-01T20:00:00Z,0.0,,57.0,57.0,57.0,60,0.0,0.0,54.0,0.0,54.0
2020-05-01,AZ,7962.0,66917.0,,709.0,1203.0,311.0,,187.0,,1528.0,2020-05-01T20:00:00Z,330.0,1203.0,74879.0,74879.0,74879.0,04,10.0,34.0,2779.0,314.0,3093.0
2020-05-01,CA,50442.0,604543.0,,4706.0,,1434.0,,,,,2020-05-01T20:00:00Z,2073.0,,654985.0,654985.0,654985.0,06,91.0,0.0,28123.0,1525.0,29648.0
2020-05-01,CO,15284.0,57106.0,,959.0,2697.0,,,,,2486.0,2020-05-01T20:00:00Z,777.0,2697.0,72390.0,72390.0,72390.0,08,11.0,76.0,805.0,526.0,1331.0
2020-05-01,CT,28764.0,71493.0,,1592.0,7758.0,,,,,4346.0,2020-05-01T20:00:00Z,2339.0,7758.0,100257.0,100257.0,100257.0,09,82.0,7758.0,2060.0,1064.0,3124.0
2020-05-01,DC,4658.0,16477.0,,,,,,,,666.0,2020-05-01T20:00:00Z,231.0,,21135.0,21135.0,21135.0,11,7.0,0.0,721.0,335.0,1056.0
2020-05-01,DE,4918.0,17667.0,,281.0,,,,,,1403.0,2020-05-01T20:00:00Z,159.0,,22585.0,22585.0,22585.0,10,7.0,0.0,581.0,184.0,765.0
2020-05-01,FL,34728.0,367971.0,,,5795.0,,,,,,2020-05-01T20:00:00Z,1314.0,5795.0,402699.0,402699.0,402699.0,12,24.0,0.0,19256.0,1038.0,20294.0
2020-05-01,GA,27270.0,141097.0,,,5269.0,,1215.0,,,,2020-05-01T20:00:00Z,1154.0,5269.0,168367.0,168367.0,168367.0,13,34.0,113.0,18208.0,1115.0,19323.0
2020-05-01,GU,146.0,2859.0,,,,,,,,131.0,2020-05-01T20:00:00Z,5.0,,3005.0,3005.0,3005.0,66,0.0,0.0,897.0,0.0,897.0
2020-05-01,HI,618.0,30476.0,,,70.0,,,,,526.0,2020-05-01T20:00:00Z,16.0,70.0,31094.0,31094.0,31094.0,15,0.0,1.0,449.0,5.0,454.0
2020-05-01,IA,7884.0,37708.0,,345.0,,121.0,,91.0,,2899.0,2020-05-01T20:00:00Z,170.0,,45592.0,45592.0,45592.0,19,8.0,0.0,2186.0,739.0,2925.0
2020-05-01,ID,2015.0,27210.0,,,178.0,,75.0,,,1175.0,2020-05-01T20:00:00Z,63.0,178.0,29225.0,29225.0,29225.0,16,3.0,3.0,501.0,31.0,532.0
2020-05-01,IL,56055.0,228633.0,,4900.0,,1263.0,,777.0,,,2020-05-01T20:00:00Z,2457.0,,284688.0,284688.0,284688.0,17,102.0,0.0,11684.0,3137.0,14821.0
2020-05-01,IN,18630.0,81009.0,,1431.0,,514.0,,257.0,,,2020-05-01T20:00:00Z,1175.0,,99639.0,99639.0,99639.0,18,61.0,0.0,3846.0,795.0,4641.0
2020-05-01,KS,4449.0,28585.0,,,534.0,,206.0,,96.0,280.0,2020-05-01T20:00:00Z,130.0,534.0,33034.0,33034.0,33034.0,20,1.0,11.0,1197.0,211.0,1408.0
2020-05-01,KY,4708.0,51904.0,,330.0,1375.0,178.0,642.0,,,1675.0,2020-05-01T20:00:00Z,240.0,1375.0,56612.0,56612.0,56612.0,21,5.0,16.0,2342.0,169.0,2511.0
2020-05-01,LA,28711.0,139540.0,,1607.0,,,,230.0,,17303.0,2020-05-01T20:00:00Z,1927.0,,168251.0,168251.0,168251.0,22,65.0,0.0,6232.0,710.0,6942.0
2020-05-01,MA,64311.0,225325.0,,3716.0,6169.0,947.0,,,,,2020-05-01T20:00:00Z,3716.0,6169.0,289636.0,289636.0,289636.0,25,154.0,227.0,11883.0,2106.0,13989.0
2020-05-01,MD,23472.0,97511.0,,1668.0,4718.0,568.0,,,,1517.0,2020-05-01T20:00:00Z,1192.0,4718.0,120983.0,120983.0,120983.0,24,52.0,159.0,4894.0,1730.0,6624.0
2020-05-01,ME,1123.0,19546.0,,37.0,177.0,17.0,,9.0,,657.0,2020-05-01T20:00:00Z,55.0,177.0,20669.0,20669.0,20669.0,23,2.0,7.0,0.0,28.0,28.0
2020-05-01,MI,42356.0,148149.0,,2319.0,,966.0,,760.0,,8342.0,2020-05-01T20:00:00Z,3866.0,,190505.0,190505.0,190505.0,26,77.0,0.0,9261.0,977.0,10238.0
2020-05-01,MN,5730.0,69099.0,,369.0,1096.0,118.0,380.0,,,2282.0,2020-05-01T20:00:00Z,371.0,1096.0,74829.0,74829.0,74829.0,27,28.0,52.0,3959.0,594.0,4553.0
2020-05-01,MO,7835.0,74590.0,,883.0,,,,137.0,,,2020-05-01T20:00:00Z,337.0,,82425.0,82425.0,82425.0,29,8.0,0.0,1465.0,273.0,1738.0
2020-05-01,MP,14.0,749.0,,,,,,,,12.0,2020-05-01T20:00:00Z,2.0,,763.0,763.0,763.0,69,0.0,0.0,164.0,0.0,164.0
2020-05-01,MS,7212.0,64336.0,,651.0,1226.0,160.0,,75.0,,3413.0,2020-05-01T20:00:00Z,281.0,1226.0,71548.0,71548.0,71548.0,28,20.0,51.0,4811.0,397.0,5208.0
2020-05-01,MT,453.0,13750.0,,5.0,61.0,,,,,397.0,2020-05-01T20:00:00Z,16.0,61.0,14203.0,14203.0,14203.0,30,0.0,0.0,289.0,0.0,289.0
2020-05-01,NC,10923.0,122909.0,,547.0,,,,,,,2020-05-01T20:00:00Z,399.0,,133832.0,133832.0,133832.0,37,21.0,0.0,5382.0,414.0,5796.0
2020-05-01,ND,1107.0,28418.0,,27.0,86.0,,,,,482.0,2020-05-01T20:00:00Z,23.0,86.0,29525.0,29525.0,29525.0,38,4.0,1.0,2025.0,40.0,2065.0
2020-05-01,NE,4281.0,23104.0,,,,,,,,,2020-05-01T20:00:00Z,70.0,,27385.0,27385.0,27385.0,31,2.0,0.0,1567.0,497.0,2064.0
2020-05-01,NH,2146.0,19903.0,302.0,112.0,262.0,,,,,980.0,2020-05-01T20:00:00Z,72.0,262.0,22351.0,22049.0,22049.0,33,6.0,3.0,36.0,92.0,128.0
2020-05-01,NJ,121190.0,135355.0,583.0,5972.0,,1724.0,,1286.0,,15642.0,2020-05-01T20:00:00Z,7538.0,,257128.0,256545.0,256545.0,34,310.0,0.0,6089.0,2538.0,8627.0
2020-05-01,NM,3411.0,64458.0,,172.0,536.0,,,,,760.0,2020-05-01T20:00:00Z,123.0,536.0,67869.0,67869.0,67869.0,35,11.0,0.0,2586.0,198.0,2784.0
2020-05-01,NV,5227.0,38368.0,,,,,,,,182.0,2020-05-01T20:00:00Z,243.0,,43595.0,43595.0,43595.0,32,6.0,0.0,1380.0,229.0,1609.0
