date,value,state
1986-02-15,6704,AL
1986-02-22,6967,AL
1986-03-01,6838,AL
1986-03-08,6364,AL
1986-03-15,6032,AL
1986-03-22,12280,AL
1986-03-29,6756,AL
1986-04-05,5913,AL
1986-04-12,10972,AL
1986-04-19,7300,AL
1986-04-26,6196,AL
1986-05-03,9344,AL
1986-05-10,7224,AL
1986-05-17,7152,AL
1986-05-24,6998,AL
1986-05-31,7584,AL
1986-06-07,6898,AL
1986-06-14,6942,AL
1986-06-21,6032,AL
1986-06-28,5583,AL
1986-07-05,6685,AL
1986-07-12,16296,AL
1986-07-19,12268,AL
1986-07-26,7748,AL
1986-08-02,6892,AL
1986-08-09,7055,AL
1986-08-16,7467,AL
1986-08-23,6355,AL
1986-08-30,5710,AL
1986-09-06,6087,AL
1986-09-13,6112,AL
1986-09-20,5370,AL
1986-09-27,4974,AL
1986-10-04,5320,AL
1986-10-11,6961,AL
1986-10-18,6246,AL
1986-10-25,5951,AL
1986-11-01,5760,AL
1986-11-08,6701,AL
1986-11-15,6326,AL
1986-11-22,7753,AL
1986-11-29,6138,AL
1986-12-06,10406,AL
1986-12-13,8795,AL
1986-12-20,7198,AL
1986-12-27,9296,AL
1987-01-03,16309,AL
1987-01-10,21203,AL
1987-01-17,17409,AL
1987-01-24,8839,AL
1987-01-31,7272,AL
1987-02-07,7272,AL
1987-02-14,8633,AL
1987-02-21,6499,AL
1987-02-28,6354,AL
1987-03-07,5563,AL
1987-03-14,6207,AL
1987-03-21,10978,AL
1987-03-28,6305,AL
1987-04-04,5315,AL
1987-04-11,7472,AL
1987-04-18,5597,AL
1987-04-25,6215,AL
1987-05-02,5186,AL
1987-05-09,5749,AL
1987-05-16,6056,AL
1987-05-23,6582,AL
1987-05-30,4705,AL
1987-06-06,5479,AL
1987-06-13,5022,AL
1987-06-20,4949,AL
1987-06-27,4844,AL
1987-07-04,5205,AL
1987-07-11,10696,AL
1987-07-18,12676,AL
1987-07-25,8620,AL
1987-08-01,5806,AL
1987-08-08,5580,AL
1987-08-15,5257,AL
1987-08-22,4515,AL
1987-08-29,4194,AL
1987-09-05,4791,AL
1987-09-12,3650,AL
1987-09-19,3899,AL
1987-09-26,3614,AL
1987-10-03,4121,AL
1987-10-10,5289,AL
1987-10-17,3905,AL
1987-10-24,4430,AL
1987-10-31,4419,AL
1987-11-07,4873,AL
1987-11-14,5072,AL
1987-11-21,5834,AL
1987-11-28,4453,AL
1987-12-05,6388,AL
1987-12-12,6912,AL
1987-12-19,5817,AL
1987-12-26,6967,AL
1988-01-02,8805,AL
