date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-07,1663,AL,0.0,,,,,,,,,,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,01,,,,,,,,,,,,,
2020-03-14,1819,AL,6.0,22.0,46.0,,,,,,,,2020-03-14T20:00:00Z,,,74.0,28.0,28.0,01,0.0,0.0,11.0,5.0,16.0,,,,,,,,
2020-03-21,10892,AL,124.0,28.0,,,,,,,,,2020-03-21T20:00:00Z,0.0,,152.0,152.0,152.0,01,0.0,0.0,0.0,43.0,43.0,,,,,,,,
2020-03-07,815,AK,0.0,12.0,2.0,,,,,,,,2020-03-07T21:00:00Z,,,14.0,12.0,12.0,02,0.0,0.0,4.0,0.0,4.0,,,,,,,,
2020-03-14,1120,AK,1.0,143.0,,,,,,,,,2020-03-14T20:00:00Z,,,144.0,144.0,144.0,02,0.0,0.0,84.0,0.0,84.0,,,,,,,,
2020-03-21,7847,AK,14.0,758.0,,,0.0,,,,,,2020-03-21T20:00:00Z,,0.0,772.0,772.0,772.0,02,0.0,0.0,72.0,2.0,74.0,,,,,,,,
2020-03-07,3357,AZ,5.0,44.0,7.0,,,,,,,,2020-03-07T21:00:00Z,,,56.0,49.0,49.0,04,0.0,0.0,11.0,2.0,13.0,,,,,,,,
2020-03-14,3844,AZ,12.0,121.0,50.0,,,,,,,,2020-03-14T20:00:00Z,0.0,,183.0,133.0,133.0,04,0.0,0.0,27.0,3.0,30.0,,,,,,,,
2020-03-21,29348,AZ,104.0,240.0,122.0,,,,,,,,2020-03-21T20:00:00Z,1.0,,466.0,344.0,344.0,04,1.0,0.0,29.0,39.0,68.0,,,,,,,,
2020-03-07,1843,AR,0.0,6.0,0.0,,,,,,,,2020-03-07T21:00:00Z,,,6.0,6.0,6.0,05,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,1382,AR,12.0,65.0,26.0,,,,,,,,2020-03-14T20:00:00Z,,,103.0,77.0,77.0,05,0.0,0.0,35.0,3.0,38.0,,,,,,,,
2020-03-21,9275,AR,118.0,567.0,154.0,,,,,,,,2020-03-21T20:00:00Z,,,839.0,685.0,685.0,05,0.0,0.0,216.0,22.0,238.0,,,,,,,,
