date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-06,AK,191.0,6692.0,,,23.0,,,,,,2020-04-06T20:00:00Z,6.0,23.0,6883,6883,6883,02,0.0,3.0,593.0,6.0,599.0
2020-04-06,AL,1968.0,12797.0,,,240.0,,,,,,2020-04-06T20:00:00Z,50.0,240.0,14765,14765,14765,01,5.0,9.0,1515.0,172.0,1687.0
2020-04-06,AR,875.0,11970.0,,74.0,130.0,,43.0,22.0,39.0,102.0,2020-04-06T20:00:00Z,16.0,130.0,12845,12845,12845,05,0.0,0.0,1558.0,45.0,1603.0
2020-04-06,AS,0.0,20.0,11.0,,,,,,,,2020-04-06T20:00:00Z,0.0,,31,20,20,60,0.0,0.0,0.0,0.0,0.0
2020-04-06,AZ,2456.0,30078.0,,,325.0,,112.0,,,,2020-04-06T20:00:00Z,65.0,325.0,32534,32534,32534,04,1.0,15.0,4937.0,187.0,5124.0
2020-04-06,CA,14336.0,103095.0,15000.0,2509.0,,1085.0,,,,,2020-04-06T20:00:00Z,343.0,,132431,117431,117431,06,24.0,0.0,0.0,898.0,898.0
2020-04-06,CO,4950.0,20823.0,,,924.0,,,,,,2020-04-06T20:00:00Z,140.0,924.0,25773,25773,25773,08,14.0,49.0,1488.0,385.0,1873.0
2020-04-06,CT,6906.0,19780.0,,1221.0,,,,,,,2020-04-06T20:00:00Z,206.0,,26686,26686,26686,09,17.0,0.0,2185.0,1231.0,3416.0
2020-04-06,DC,1097.0,6356.0,,,,,,,,287.0,2020-04-06T20:00:00Z,24.0,,7453,7453,7453,11,2.0,0.0,520.0,99.0,619.0
2020-04-06,DE,673.0,6321.0,,101.0,,,,,,71.0,2020-04-06T20:00:00Z,14.0,,6994,6994,6994,10,0.0,0.0,0.0,0.0,0.0
2020-04-06,FL,13324.0,109950.0,1142.0,,1682.0,,,,,,2020-04-06T20:00:00Z,236.0,1682.0,124416,123274,123274,12,18.0,110.0,8697.0,1173.0,9870.0
2020-04-06,GA,7314.0,32698.0,,,1332.0,,,,,,2020-04-06T20:00:00Z,229.0,1332.0,40012,40012,40012,13,18.0,49.0,11513.0,667.0,12180.0
2020-04-06,GU,113.0,505.0,,,31.0,,2.0,,,25.0,2020-04-06T20:00:00Z,4.0,31.0,618,618,618,66,0.0,0.0,12.0,1.0,13.0
2020-04-06,HI,371.0,13155.0,,,21.0,,6.0,,,85.0,2020-04-06T20:00:00Z,4.0,21.0,13526,13526,13526,15,0.0,2.0,551.0,20.0,571.0
2020-04-06,IA,946.0,10653.0,,99.0,179.0,,,,,284.0,2020-04-06T20:00:00Z,25.0,179.0,11599,11599,11599,19,3.0,14.0,680.0,78.0,758.0
2020-04-06,ID,1101.0,9894.0,,,77.0,,16.0,,,,2020-04-06T20:00:00Z,10.0,77.0,10995,10995,10995,16,0.0,11.0,710.0,24.0,734.0
2020-04-06,IL,12262.0,50680.0,,,,,,,,,2020-04-06T20:00:00Z,307.0,,62942,62942,62942,17,33.0,0.0,2953.0,1006.0,3959.0
2020-04-06,IN,4944.0,21247.0,,,,924.0,,507.0,,,2020-04-06T20:00:00Z,139.0,,26191,26191,26191,18,12.0,0.0,3006.0,533.0,3539.0
2020-04-06,KS,845.0,8239.0,,,198.0,,,,,,2020-04-06T20:00:00Z,25.0,198.0,9084,9084,9084,20,3.0,15.0,763.0,98.0,861.0
2020-04-06,KY,955.0,17812.0,,,,,,,,,2020-04-06T20:00:00Z,45.0,,18767,18767,18767,21,5.0,0.0,2066.0,38.0,2104.0
2020-04-06,LA,14867.0,54299.0,,1809.0,,,,563.0,,,2020-04-06T20:00:00Z,512.0,,69166,69166,69166,22,35.0,0.0,6984.0,1857.0,8841.0
2020-04-06,MA,13837.0,62592.0,,,1241.0,,,,,,2020-04-06T20:00:00Z,260.0,1241.0,76429,76429,76429,25,29.0,96.0,3155.0,1337.0,4492.0
2020-04-06,MD,4045.0,25572.0,,,1059.0,,,,,184.0,2020-04-06T20:00:00Z,91.0,1059.0,29617,29617,29617,24,24.0,123.0,844.0,436.0,1280.0
2020-04-06,ME,499.0,6088.0,,,92.0,,,,,158.0,2020-04-06T20:00:00Z,10.0,92.0,6587,6587,6587,23,0.0,6.0,0.0,29.0,29.0
2020-04-06,MI,17221.0,30030.0,,,,,,,,,2020-04-06T20:00:00Z,727.0,,47251,47251,47251,26,110.0,0.0,0.0,1503.0,1503.0
2020-04-06,MN,986.0,27142.0,,115.0,223.0,57.0,90.0,,,470.0,2020-04-06T20:00:00Z,30.0,223.0,28128,28128,28128,27,1.0,21.0,1300.0,51.0,1351.0
2020-04-06,MO,2722.0,27113.0,,439.0,,,,,,,2020-04-06T20:00:00Z,39.0,,29835,29835,29835,29,5.0,0.0,2231.0,355.0,2586.0
2020-04-06,MP,8.0,13.0,10.0,,,,,,,,2020-04-06T20:00:00Z,1.0,,31,21,21,69,0.0,0.0,0.0,0.0,0.0
2020-04-06,MS,1738.0,18632.0,,,475.0,,,,,,2020-04-06T20:00:00Z,51.0,475.0,20370,20370,20370,28,8.0,0.0,13052.0,100.0,13152.0
2020-04-06,MT,299.0,6491.0,,,24.0,,,,,,2020-04-06T20:00:00Z,6.0,24.0,6790,6790,6790,30,0.0,0.0,174.0,13.0,187.0
2020-04-06,NC,2870.0,37856.0,,270.0,,,,,,,2020-04-06T20:00:00Z,33.0,,40726,40726,40726,37,2.0,0.0,396.0,285.0,681.0
2020-04-06,ND,225.0,6988.0,,19.0,32.0,,,,,74.0,2020-04-06T20:00:00Z,3.0,32.0,7213,7213,7213,38,0.0,1.0,408.0,18.0,426.0
2020-04-06,NE,409.0,6378.0,8.0,,,,,,,,2020-04-06T20:00:00Z,8.0,,6795,6787,6787,31,0.0,0.0,820.0,46.0,866.0
2020-04-06,NH,669.0,7701.0,101.0,,92.0,,,,,147.0,2020-04-06T20:00:00Z,9.0,92.0,8471,8370,8370,33,0.0,6.0,290.0,48.0,338.0
2020-04-06,NJ,41090.0,47942.0,,4000.0,,,,1263.0,,,2020-04-06T20:00:00Z,1003.0,,89032,89032,89032,34,86.0,0.0,3281.0,3585.0,6866.0
2020-04-06,NM,624.0,18512.0,,45.0,,,,18.0,,130.0,2020-04-06T20:00:00Z,12.0,,19136,19136,19136,35,1.0,0.0,2227.0,81.0,2308.0
2020-04-06,NV,1953.0,15676.0,,,,,,,,,2020-04-06T20:00:00Z,46.0,,17629,17629,17629,32,0.0,0.0,681.0,117.0,798.0
2020-04-06,NY,130689.0,190122.0,,16837.0,30203.0,4504.0,,,,13366.0,2020-04-06T20:00:00Z,4758.0,30203.0,320811,320811,320811,36,599.0,2111.0,9873.0,8658.0,18531.0
2020-04-06,OH,4450.0,43928.0,,,1214.0,,371.0,,,,2020-04-06T20:00:00Z,142.0,1214.0,48378,48378,48378,39,23.0,110.0,4215.0,407.0,4622.0
2020-04-06,OK,1327.0,1422.0,,,340.0,,,,,,2020-04-06T20:00:00Z,51.0,340.0,2749,2749,2749,40,5.0,10.0,21.0,75.0,96.0
2020-04-06,OR,1068.0,19556.0,,,258.0,,,,40.0,,2020-04-06T20:00:00Z,27.0,258.0,20624,20624,20624,41,1.0,19.0,1630.0,69.0,1699.0
2020-04-06,PA,12980.0,70874.0,,,1613.0,,,533.0,,,2020-04-06T20:00:00Z,162.0,1613.0,83854,83854,83854,42,12.0,541.0,4613.0,1470.0,6083.0
2020-04-06,PR,513.0,3432.0,1000.0,,,,,,,,2020-04-06T20:00:00Z,21.0,,4945,3945,3945,72,1.0,0.0,359.0,38.0,397.0
2020-04-06,RI,1082.0,7399.0,,109.0,,37.0,,26.0,,35.0,2020-04-06T20:00:00Z,27.0,,8481,8481,8481,44,2.0,0.0,218.0,160.0,378.0
2020-04-06,SC,2049.0,16927.0,,,241.0,,,,,,2020-04-06T20:00:00Z,44.0,241.0,18976,18976,18976,45,0.0,0.0,0.0,0.0,0.0
2020-04-06,SD,288.0,5732.0,0.0,,23.0,,,,,91.0,2020-04-06T20:00:00Z,4.0,23.0,6020,6020,6020,46,2.0,1.0,379.0,48.0,427.0
2020-04-06,TN,3802.0,43548.0,,,352.0,,,,,356.0,2020-04-06T20:00:00Z,65.0,352.0,47350,47350,47350,47,21.0,24.0,1881.0,169.0,2050.0
2020-04-06,TX,7276.0,78081.0,,,1153.0,,,,,38.0,2020-04-06T20:00:00Z,140.0,1153.0,85357,85357,85357,48,13.0,326.0,13955.0,464.0,14419.0
2020-04-06,UT,1675.0,31719.0,,,138.0,,,,,,2020-04-06T20:00:00Z,13.0,138.0,33394,33394,33394,49,5.0,14.0,2432.0,70.0,2502.0
2020-04-06,VA,2878.0,21643.0,,,497.0,,145.0,,108.0,,2020-04-06T20:00:00Z,54.0,497.0,24521,24521,24521,51,3.0,66.0,609.0,241.0,850.0
2020-04-06,VI,43.0,222.0,20.0,,,,,,,36.0,2020-04-06T20:00:00Z,1.0,,285,265,265,78,0.0,0.0,16.0,1.0,17.0
2020-04-06,VT,543.0,6090.0,,28.0,45.0,,,,,15.0,2020-04-06T20:00:00Z,23.0,45.0,6633,6633,6633,50,1.0,0.0,20.0,31.0,51.0
2020-04-06,WA,7984.0,83391.0,,,,,,,,,2020-04-06T20:00:00Z,338.0,,91375,91375,91375,53,28.0,0.0,3064.0,393.0,3457.0
2020-04-06,WI,2440.0,26574.0,,,668.0,,186.0,,,,2020-04-06T20:00:00Z,77.0,668.0,29014,29014,29014,55,9.0,44.0,1405.0,173.0,1578.0
2020-04-06,WV,345.0,9595.0,,,,,,,,,2020-04-06T20:00:00Z,4.0,,9940,9940,9940,54,1.0,0.0,1081.0,21.0,1102.0
2020-04-06,WY,210.0,3719.0,,,23.0,,,,,52.0,2020-04-06T20:00:00Z,0.0,23.0,3929,3929,3929,56,0.0,0.0,679.0,13.0,692.0
2020-04-05,AK,185.0,6099.0,,,20.0,,,,,,2020-04-05T20:00:00Z,6.0,20.0,6284,6284,6284,02,1.0,4.0,230.0,14.0,244.0
2020-04-05,AL,1796.0,11282.0,,,231.0,,,,,,2020-04-05T20:00:00Z,45.0,231.0,13078,13078,13078,01,2.0,19.0,2009.0,216.0,2225.0
2020-04-05,AR,830.0,10412.0,,67.0,130.0,,43.0,27.0,39.0,97.0,2020-04-05T20:00:00Z,16.0,130.0,11242,11242,11242,05,2.0,130.0,785.0,87.0,872.0
2020-04-05,AS,0.0,20.0,6.0,,,,,,,,2020-04-05T20:00:00Z,0.0,,26,20,20,60,0.0,0.0,0.0,0.0,0.0
2020-04-05,AZ,2269.0,25141.0,,,310.0,,108.0,,,,2020-04-05T20:00:00Z,64.0,310.0,27410,27410,27410,04,12.0,13.0,0.0,250.0,250.0
2020-04-05,CA,13438.0,103095.0,15000.0,2398.0,,1040.0,,,,,2020-04-05T20:00:00Z,319.0,,131533,116533,116533,06,43.0,0.0,1421.0,1412.0,2833.0
2020-04-05,CO,4565.0,19335.0,,,875.0,,,,,,2020-04-05T20:00:00Z,126.0,875.0,23900,23900,23900,08,15.0,52.0,1437.0,392.0,1829.0
